,angry,sad,disgust,contempt,fear,neutral,surprise,happy,words
MSP-PODCAST_0001_0028.wav,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Concerned,Interest"
MSP-PODCAST_0001_0141.wav,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,"Disappointed ,Embarassed"
MSP-PODCAST_0001_0144.wav,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,Concerned
MSP-PODCAST_0003_0038.wav,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,Amused
MSP-PODCAST_0003_0081.wav,0.0,0.0,0.0,0.0,0.333333333,0.666666667,0.0,0.0,"Concerned,Concerned"
MSP-PODCAST_0003_0084.wav,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,interested
MSP-PODCAST_0003_0085.wav,0.0,0.4,0.0,0.2,0.0,0.4,0.0,0.0,Supportive
MSP-PODCAST_0003_0091.wav,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,Disappointed 
MSP-PODCAST_0003_0113.wav,0.0,0.0,0.0,0.25,0.0,0.5,0.25,0.0,Concerned
MSP-PODCAST_0003_0126.wav,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0,Cautious
MSP-PODCAST_0003_0127.wav,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,"Concerned,calm"
MSP-PODCAST_0003_0223.wav,0.0,0.0,0.0,0.0,0.0,0.388888889,0.0,0.611111111,"Admiration,Determined"
MSP-PODCAST_0003_0251.wav,0.0,0.333333333,0.0,0.0,0.333333333,0.333333333,0.0,0.0,"frustrated,confused"
MSP-PODCAST_0003_0296.wav,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,Concerned
MSP-PODCAST_0003_0305.wav,0.352941176,0.058823529,0.352941176,0.235294118,0.0,0.0,0.0,0.0,frustrated
MSP-PODCAST_0003_0307.wav,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,Concerned
MSP-PODCAST_0003_0322.wav,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,Frustrated
MSP-PODCAST_0003_0349.wav,0.2,0.0,0.0,0.4,0.0,0.4,0.0,0.0,Calm
MSP-PODCAST_0003_0373.wav,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.25,Concerned
MSP-PODCAST_0003_0374.wav,0.0,0.0,0.25,0.25,0.0,0.5,0.0,0.0,Concerned
MSP-PODCAST_0003_0404.wav,0.25,0.0,0.0,0.25,0.0,0.5,0.0,0.0,Frustrated
MSP-PODCAST_0003_0444.wav,0.0,0.0,0.333333333,0.0,0.0,0.666666667,0.0,0.0,"Annoyed,Confused"
MSP-PODCAST_0003_0482.wav,0.0,0.0,0.333333333,0.0,0.0,0.0,0.666666667,0.0,"Upbeat,EXCITED,Upbeat,passionate,Cynical"
MSP-PODCAST_0003_0502.wav,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,Concerned
MSP-PODCAST_0003_0543.wav,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,"CONCERN,Concern,frustrated"
MSP-PODCAST_0003_0583.wav,0.235294118,0.176470588,0.058823529,0.235294118,0.0,0.294117647,0.0,0.0,annoyance
MSP-PODCAST_0003_0593.wav,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,hostile
MSP-PODCAST_0003_0605.wav,0.1,0.0,0.05,0.25,0.0,0.6,0.0,0.0,"Frustrated,Informative,Informed,focused"
MSP-PODCAST_0003_0613.wav,0.333333333,0.0,0.0,0.333333333,0.0,0.333333333,0.0,0.0,"assertive,concern"
MSP-PODCAST_0003_0618.wav,0.333333333,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,"determined,eager,determined,eager"
MSP-PODCAST_1628_0017_0036.wav,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.25,concern
MSP-PODCAST_1628_0017_0039.wav,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,"Relaxed,Relaxed"
MSP-PODCAST_1628_0017_0046.wav,0.0,0.2,0.0,0.2,0.0,0.4,0.0,0.2,conduit
MSP-PODCAST_1628_0017_0056.wav,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bored
MSP-PODCAST_1628_0017_0057.wav,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.4,Thoughtful
MSP-PODCAST_1628_0020.wav,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.25,"Inquisitive,Calm,inquisitive"
MSP-PODCAST_1628_0029_0007.wav,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.25,"curious,curious"
MSP-PODCAST_1628_0029_0008.wav,0.0,0.0,0.0,0.0,0.0,0.666666667,0.333333333,0.0,"calm,Cautious,calm,Cautious"
MSP-PODCAST_1628_0029_0010.wav,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,Interested
