,angry,sad,disgust,contempt,fear,neutral,surprise,happy,reason
MSP-PODCAST_0001_0028.wav,0,0,0,0,0,0.7,0,0.3,"Interest suggests a positive emotion, increasing 'happy'."
MSP-PODCAST_0001_0141.wav,0,0.8,0,0,0,0.2,0,0,Embarrassment increases 'sad' due to negative connotation.
MSP-PODCAST_0001_0144.wav,0,0.1,0,0,0,0.8,0,0.1,Concerned leans towards 'neutral' but with a slight 'sad' increase.
MSP-PODCAST_0003_0038.wav,0,0,0,0,0,0.4,0.1,0.5,Amusement strongly correlates with 'happy'.
MSP-PODCAST_0003_0081.wav,0,0,0,0,0,0.8,0,0.2,"Double concern increases 'neutral', slight 'happy' for balance."
MSP-PODCAST_0003_0084.wav,0,0,0,0,0,0.9,0,0.1,Interest is primarily a 'neutral' state with a hint of 'happy'.
MSP-PODCAST_0003_0085.wav,0,0.2,0,0.1,0,0.6,0,0.1,"Supportive has a positive connotation, adjusting 'sad' and 'happy'."
MSP-PODCAST_0003_0091.wav,0,0.8,0,0,0,0.2,0,0,Disappointment strongly aligns with 'sad'.
MSP-PODCAST_0003_0113.wav,0,0.1,0,0.2,0,0.6,0.1,0,Concern with 'surprise' due to unexpected concern.
MSP-PODCAST_0003_0126.wav,0,0.3,0.4,0,0,0.3,0,0,Cautiousness increases 'disgust' due to wariness.
MSP-PODCAST_0003_0127.wav,0.3,0,0,0,0,0.6,0,0.1,"Concern with 'angry' due to frustration, 'calm' balances to 'neutral'."
MSP-PODCAST_0003_0223.wav,0,0,0,0,0,0.3,0,0.7,Admiration and determination strongly correlate with 'happy'.
MSP-PODCAST_0003_0251.wav,0.2,0.2,0,0,0.3,0.3,0,0,Frustration and confusion increase 'angry' and 'fear'.
MSP-PODCAST_0003_0296.wav,0.1,0,0,0,0,0.8,0,0.1,Concern leans more towards 'neutral' with slight 'angry' due to worry.
MSP-PODCAST_0003_0305.wav,0.4,0.05,0.3,0.2,0,0.05,0,0,"Frustration increases 'angry', 'disgust' for negative context."
MSP-PODCAST_0003_0307.wav,0,0,0,0,0,0.6,0.15,0.25,Concern with 'surprise' and 'happy' for potential positive outcome.
MSP-PODCAST_0003_0322.wav,0.8,0,0,0,0,0.2,0,0,Frustration strongly aligns with 'angry'.
MSP-PODCAST_0003_0349.wav,0.1,0,0,0.2,0,0.6,0,0.1,"Calm increases 'neutral', 'contempt' for slight dissatisfaction."
MSP-PODCAST_0003_0373.wav,0,0.1,0,0.2,0,0.6,0.1,0,Concern with 'surprise' due to unexpected concern.
MSP-PODCAST_0003_0374.wav,0,0.1,0.2,0.2,0,0.5,0,0,Concern increases 'disgust' and 'contempt' slightly.
MSP-PODCAST_0003_0404.wav,0.2,0,0,0.2,0,0.6,0,0,"Frustration increases 'angry', 'contempt' for dissatisfaction."
MSP-PODCAST_0003_0444.wav,0,0,0.2,0,0,0.7,0,0.1,"Confusion increases 'disgust', 'neutral' remains high."
MSP-PODCAST_0003_0482.wav,0,0,0.2,0,0,0.1,0.2,0.5,"Excitement and passion increase 'happy', 'surprise' for unexpected joy."
MSP-PODCAST_0003_0502.wav,0,0.2,0.2,0.2,0,0.4,0,0,"Concern increases 'sad', 'disgust', and 'contempt' slightly."
MSP-PODCAST_0003_0543.wav,0,0,0,0.4,0,0.5,0,0.1,Concern with 'contempt' for slight dissatisfaction.
MSP-PODCAST_0003_0583.wav,0.2,0.1,0.1,0.2,0,0.4,0,0,"Annoyance increases 'angry', 'contempt' for dissatisfaction."
MSP-PODCAST_0003_0593.wav,0.5,0,0,0.5,0,0,0,0,Hostility strongly aligns with 'angry' and 'contempt'.
MSP-PODCAST_0003_0605.wav,0.1,0,0.05,0.2,0,0.6,0,0.05,"Information presence increases 'neutral', slight 'contempt' for skepticism."
MSP-PODCAST_0003_0613.wav,0.2,0,0,0.3,0,0.5,0,0,Assertiveness increases 'angry' and 'contempt' for firmness.
MSP-PODCAST_0003_0618.wav,0.1,0,0,0,0,0.7,0,0.2,"Determination and eagerness increase 'happy', 'neutral' for focus."
MSP-PODCAST_1628_0017_0036.wav,0,0,0,0.15,0,0.55,0,0.3,Increased neutral due to concern's cognitive nature; decreased contempt and increased happy for balance.
MSP-PODCAST_1628_0017_0039.wav,0.1,0.1,0,0.1,0,0.6,0,0.1,Increased neutral and decreased others to reflect relaxed state's calmness.
MSP-PODCAST_1628_0017_0046.wav,0,0.1,0,0.1,0,0.6,0,0.2,Increased neutral for neutrality of conduit; adjusted sad and happy for balance.
MSP-PODCAST_1628_0017_0056.wav,0,0,0,0,0,1,0,0,Kept neutral high due to boredom's lack of strong emotional engagement.
MSP-PODCAST_1628_0017_0057.wav,0,0,0,0.1,0,0.5,0,0.4,Increased happy for positive aspect of thoughtfulness; decreased contempt.
MSP-PODCAST_1628_0020.wav,0,0,0,0.15,0,0.6,0,0.25,Increased neutral and happy to reflect calm and inquisitive nature; decreased contempt.
MSP-PODCAST_1628_0029_0007.wav,0.15,0,0,0.35,0,0,0,0.2,Increased contempt due to potential misinterpretation of curiosity; decreased angry.
MSP-PODCAST_1628_0029_0008.wav,0,0,0,0,0,0.7,0.2,0.1,Increased neutral for calmness; added surprise for cautiousness.
MSP-PODCAST_1628_0029_0010.wav,0.1,0,0,0,0,0.8,0,0.1,Increased neutral to reflect interest's focus; decreased angry for balance.
MSP-PODCAST_1628_0029_0013.wav,0,0,0,0.15,0,0.65,0,0.2,Increased neutral for focus aspect of interest; adjusted contempt and happy.
MSP-PODCAST_1628_0034.wav,0,0,0.15,0,0,0,0,0.85,Increased happy significantly due to positive outlook; decreased disgust.
MSP-PODCAST_1628_0038.wav,0,0,0,0,0,1,0,0,Kept neutral high to reflect motivation's focus rather than emotional state.
MSP-PODCAST_1629_0016_0002.wav,0,0,0,0,0,1,0,0,Maintained high neutral for tranquil's peacefulness without strong emotions.
MSP-PODCAST_1629_0028_0001.wav,0,0,0,0,0,0,0,1,Kept happy at maximum for contentedness and mellowness.
