,angry,sad,disgust,fear,neutral,happy,SpkrID,Gender,Split_Set
1037_IWL_HAP_XX.wav,0.01,0.01,0.01,0.01,0.01,0.95,1037,Female,Train
1058_ITS_FEA_XX.wav,0.01,0.01,0.01,0.95,0.01,0.01,1058,Female,Train
1070_WSI_FEA_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1070,Male,Train
1064_TSI_FEA_XX.wav,0.01,0.01,0.01,0.95,0.01,0.01,1064,Male,Train
1055_ITS_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1055,Female,Train
1083_IEO_FEA_MD.wav,0.01,0.01,0.01,0.01,0.95,0.01,1083,Male,Train
1074_IEO_HAP_LO.wav,0.01,0.01,0.01,0.01,0.01,0.95,1074,Female,Train
1049_DFA_HAP_XX.wav,0.01,0.01,0.01,0.01,0.01,0.95,1049,Female,Train
1046_ITH_FEA_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1046,Female,Train
1077_IEO_SAD_MD.wav,0.01,0.01,0.01,0.01,0.95,0.01,1077,Male,Train
1043_ITH_HAP_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1043,Female,Train
1086_IEO_DIS_MD.wav,0.01,0.01,0.95,0.01,0.01,0.01,1086,Male,Train
1074_WSI_DIS_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1074,Female,Train
1084_IEO_ANG_HI.wav,0.95,0.01,0.01,0.01,0.01,0.01,1084,Female,Train
1053_DFA_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1053,Female,Train
1081_IEO_SAD_HI.wav,0.01,0.01,0.01,0.01,0.95,0.01,1081,Male,Train
1047_ITH_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1047,Female,Train
1065_TSI_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1065,Male,Train
1090_IEO_DIS_HI.wav,0.01,0.01,0.01,0.01,0.95,0.01,1090,Male,Train
1078_IEO_HAP_HI.wav,0.01,0.01,0.01,0.95,0.01,0.01,1078,Female,Train
1071_WSI_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1071,Male,Train
1087_IEO_FEA_HI.wav,0.01,0.01,0.01,0.95,0.01,0.01,1087,Male,Train
1044_IWL_DIS_XX.wav,0.95,0.01,0.01,0.01,0.01,0.01,1044,Male,Train
1041_IWL_SAD_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1041,Male,Train
1045_IWL_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1045,Male,Train
1060_DFA_ANG_XX.wav,0.01,0.01,0.95,0.01,0.01,0.01,1060,Female,Train
1075_WSI_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1075,Female,Train
1063_ITS_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1063,Female,Train
1057_DFA_NEU_XX.wav,0.01,0.01,0.01,0.01,0.95,0.01,1057,Male,Train
1078_WSI_FEA_XX.wav,0.01,0.95,0.01,0.01,0.01,0.01,1078,Female,Train
