,angry,sad,neutral,happy,EmoAct,EmoVal,EmoDom,SpkrID,Gender,Split_Set
MSP-IMPROV-S01A-F02-R-FF01.wav,0.95,0.016666666666666666,0.016666666666666666,0.016666666666666666,2.666667,2.333333,3.0,4,Female,Train
MSP-IMPROV-S01A-F03-R-FF01.wav,0.95,0.016666666666666666,0.016666666666666666,0.016666666666666666,3.0,1.428571,4.285714,6,Female,Train
MSP-IMPROV-S01A-F05-R-FF01.wav,0.95,0.016666666666666666,0.016666666666666666,0.016666666666666666,3.6,1.6,3.6,10,Female,Test
MSP-IMPROV-S01A-F06-R-FF01.wav,0.95,0.016666666666666666,0.016666666666666666,0.016666666666666666,3.2,2.0,3.2,12,Female,Train
MSP-IMPROV-S01A-M01-R-MM01.wav,0.95,0.016666666666666666,0.016666666666666666,0.016666666666666666,3.666667,1.666667,3.5,1,Male,Train
MSP-IMPROV-S01A-M03-R-MM01.wav,0.95,0.016666666666666666,0.016666666666666666,0.016666666666666666,3.0,2.0,3.8,5,Male,Train
MSP-IMPROV-S01H-F02-R-FF01.wav,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.95,3.2,3.8,3.0,4,Female,Train
MSP-IMPROV-S01H-F03-R-FF01.wav,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.95,3.6,3.4,3.4,6,Female,Train
MSP-IMPROV-S01H-F05-R-FF01.wav,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.95,3.285714,4.428571,4.0,10,Female,Test
MSP-IMPROV-S01H-F06-R-FF01.wav,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.95,3.4,4.0,3.2,12,Female,Train
MSP-IMPROV-S01H-M01-R-MM01.wav,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.95,3.0,3.6,3.2,1,Male,Train
MSP-IMPROV-S01H-M02-R-MM01.wav,0.016666666666666666,0.016666666666666666,0.95,0.016666666666666666,2.0,3.2,2.8,3,Male,Train
MSP-IMPROV-S01H-M03-R-MM01.wav,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.95,2.6,4.0,3.2,5,Male,Train
MSP-IMPROV-S01N-F02-R-FF01.wav,0.016666666666666666,0.016666666666666666,0.95,0.016666666666666666,1.857143,3.0,3.0,4,Female,Train
