,angry,frustrated,disappointed,sad,fear,neutral,surprise,excited,happy,relax,joy,EmoAct,EmoVal,SpkrID,Gender,Split_Set
neutral_11_B_034.wav,0.005,0.005,0.005,0.005,0.005,0.95,0.005,0.005,0.005,0.005,0.005,1.0,3.0,22,Female,Train
sad_14_A_015.wav,0.005,0.005,0.005,0.005,0.005,0.95,0.005,0.005,0.005,0.005,0.005,1.4,2.8,27,Female,Train
neutral_02_A_048.wav,0.005,0.005,0.005,0.005,0.005,0.95,0.005,0.005,0.005,0.005,0.005,1.833333333,3.0,3,Female,Test
neutral_13_B_013.wav,0.005,0.005,0.005,0.005,0.005,0.95,0.005,0.005,0.005,0.005,0.005,1.4,3.0,26,Female,Train
neutral_10_A_045.wav,0.005,0.005,0.005,0.005,0.005,0.95,0.005,0.005,0.005,0.005,0.005,1.2,3.0,19,Male,Train
neutral_13_B_051.wav,0.005,0.005,0.005,0.005,0.005,0.95,0.005,0.005,0.005,0.005,0.005,1.6,3.0,26,Female,Train
happy_02_B_008.wav,0.005,0.005,0.005,0.005,0.005,0.95,0.005,0.005,0.005,0.005,0.005,1.5,2.666666667,4,Male,Test
frustration_10_B_046.wav,0.95,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,2.833333333,1.666666667,20,Female,Train
frustration_05_B_016.wav,0.005,0.005,0.95,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1.666666667,1.666666667,10,Male,Train
happy_12_B_026.wav,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.95,0.005,0.005,4.8,4.8,24,Female,Train
neutral_10_A_016.wav,0.005,0.005,0.005,0.005,0.005,0.95,0.005,0.005,0.005,0.005,0.005,1.2,3.0,19,Male,Train
sad_13_B_113.wav,0.005,0.005,0.005,0.95,0.005,0.005,0.005,0.005,0.005,0.005,0.005,1.8,1.6,26,Female,Train
happy_03_B_007.wav,0.005,0.005,0.005,0.005,0.005,0.95,0.005,0.005,0.005,0.005,0.005,2.333333333,3.5,6,Male,Test
